"Story","Title","Result","Date","Stability","Duration (s)"
"Producto en Exito","Agregar producto al carrito  en exito","PENDING","2023-11-19T15:26:47.304739-05:00[America/Bogota]","0.0","0.19"
"Producto en Exito","Agregar producto al carrito  en exito","SUCCESS","2023-11-20T01:55:41.1190254-05:00[America/Bogota]","0.0","27.35"
